Ceremonies,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,
Ceremonies,-,-,Ceremonies,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ceremonies,
Alpine-Skiing,-,Competition-Day,Competition-Day,Competition-Day,-,Day-with-medals,Day-with-medals,Day-with-medals,Day-with-medals,Day-with-medals,Competition-Day,Day-with-medals,Competition-Day,Day-with-medals,Day-with-medals,Day-with-medals,-,Day-with-medals,-, 
Biathlon,-,-,-,Day-with-medals,-,Day-with-medals,Day-with-medals,-,-,Day-with-medals,Day-with-medals,Day-with-medals,-,Day-with-medals,Day-with-medals,-,Day-with-medals,-,-,
Bobsleigh,-,-,-,-,-,-,-,-,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Day-with-medals,Day-with-medals,Competition-Day,Competition-Day,Competition-Day,Day-with-medals,Day-with-medals,
Cross-Country-Skiing,-,-,-,Day-with-medals,Day-with-medals,-,Day-with-medals,-,Day-with-medals,Day-with-medals,Day-with-medals,Day-with-medals,-,-,Day-with-medals,-,-,Day-with-medals,Day-with-medals,
Curling,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Day-with-medals,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Day-with-medals,Day-with-medals,Day-with-medals,
Figure-Skating,-,-,Competition-Day,-,Competition-Day,Day-with-medals,Competition-Day,-,Day-with-medals,-,Competition-Day,-,Day-with-medals,Competition-Day,-,Day-with-medals,Competition-Day,Day-with-medals,-,
Freestyle-Skiing,-,Competition-Day,-,Day-with-medals,Day-with-medals,Competition-Day,Day-with-medals,Day-with-medals,Day-with-medals,-,-,-,Day-with-medals,Day-with-medals,Day-with-medals,Day-with-medals,Day-with-medals,Day-with-medals,-,
Ice-Hockey,-,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Day-with-medals,Day-with-medals,Competition-Day,Day-with-medals,Day-with-medals,
Luge,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Day-with-medals,Competition-Day,Day-with-medals,Day-with-medals,Day-with-medals,-,-,-,-,-,-,-,-,-,-,
Nordic-Combined,-,-,-,-,Competition-Day,Competition-Day,Competition-Day,Day-with-medals,-,-,Competition-Day,Competition-Day,Competition-Day,Day-with-medals,Competition-Day,Day-with-medals,-,-,-,
Short-Track-Speed-Skating,-,-,-,Day-with-medals,-,Day-with-medals,-,Day-with-medals,-,Day-with-medals,-,Day-with-medals,-,-,Day-with-medals,-,-,-,-,
Skeleton,-,-,-,-,-,Competition-Day,Competition-Day,Competition-Day,Competition-Day,Day-with-medals,Day-with-medals,-,-,-,-,-,-,-,-,
Ski-Jumping,-,Competition-Day,Competition-Day,Day-with-medals,Day-with-medals,Day-with-medals,-,Competition-Day,Competition-Day,Competition-Day,Day-with-medals,Competition-Day,Day-with-medals,-,-,-,-,-,-,
Snowboard,-,-,-,Competition-Day,Day-with-medals,Day-with-medals,Day-with-medals,Day-with-medals,Day-with-medals,Day-with-medals,Day-with-medals,-,Competition-Day,Day-with-medals,-,-,-,-,-,
Speed-Skating,-,-,-,Day-with-medals,Day-with-medals,Day-with-medals,Day-with-medals,-,Day-with-medals,Day-with-medals,Day-with-medals,Day-with-medals,-,Day-with-medals,-,Day-with-medals,Day-with-medals,Day-with-medals,-,
